Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,corr_n_points,corr_tau50_s,corr_tau20_s,corr_auc_logx,corr_initial_slope_logx,corr_y_start,corr_y_end,dist_n_points,dist_peak_x,dist_auc_logx,dist_width_halfmax_logx,dist_centroid_x,dist_signal_raw_max,dist_signal_raw_min,Z_Average_d_nm,PdI,Mean_Count_Rate_kcps,Intercept,Quality_Factor
aMEM-Ctrl-mean,,,,,,192,9168.515536516436,63896.93266406856,4.028026398382868,-0.046865069246040746,0.893,0.0,40.0,0.49,2.724454301585665,3.077220545282097,5.04842083317857,0.918,0.00425,,,,,
aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,medium,,,1.0,192,21.667985579071754,61.94820765643282,1.6472077242348542,-0.17759506472840272,0.735,0.0,40.0,0.0261,2.824236814236194,2.9233218991061793,1.2750784676719895,0.857,0.000629,24.69,0.449,136.2,0.881,0.0
aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,medium,,,2.0,192,21.24003627968175,60.725825960074935,1.6377248999006433,-0.17246635412180036,0.732,0.0,40.0,0.018,1.7095191817724837,2.80746188989389,0.49765949838543355,0.856,0.000108,23.61,0.487,136.7,0.877,0.0
aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,medium,,,3.0,192,21.287165727371672,61.180009821523676,1.642997364672091,-0.18059180679674056,0.731,0.0,31.0,7.5,1.1580744453221024,1.0517954455579923,37.0629967970627,0.818,0.0155,23.77,0.487,135.7,0.877,0.0
aMEM_10pct-Ctrl-mean,,,,,,192,21.667985579071754,61.94820765643282,1.6472077242348542,-0.17759506472840272,0.735,0.0,40.0,0.0261,2.824236814236194,2.9233218991061793,1.2750784676719895,0.857,0.000629,,,,,
aMEM_10pct-L_3s 1,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,1.0,192,30.503349648796245,102.3113415621181,1.7921412125496456,-0.13114147249897265,0.824,0.0,39.0,0.0133,2.3207076248579837,3.442007635303338,2.6464977602540274,0.908,0.00129,35.34,0.558,168.1,0.927,0.0
aMEM_10pct-L_3s 2,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,2.0,192,30.702000697699212,102.29134627520082,1.7925907350535981,-0.13379963945025394,0.83,0.0,40.0,0.018,2.5431703017136766,3.3930875058776255,6.050448190822279,0.911,0.00152,35.55,0.559,168.3,0.928,0.0
aMEM_10pct-L_3s 3,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,3.0,192,30.434355587066406,99.70609171646042,1.7889336006104095,-0.13359609586059384,0.826,0.0,10.0,173.0,0.4966844533591719,0.41031390785213606,335.6988361481363,0.724,0.334,35.21,0.549,167.9,0.927,0.0
aMEM_10pct-L_3s-mean,,,,,,192,30.503349648796245,102.3113415621181,1.7921412125496456,-0.13114147249897265,0.824,0.0,39.0,0.0133,2.3207076248579837,3.442007635303338,2.6464977602540274,0.908,0.00129,,,,,
aMEM_10pct-i_2s 1,aMEM_10pct-i_2s,medium,iota,20 ug/mL,1.0,192,25.480384612481807,77.60697443560807,1.7208370447904342,-0.15439784564245318,0.802,0.0,40.0,0.0258,3.12031503639238,3.122406400092905,3.4634398169812197,0.895,0.00382,28.8,0.517,145.3,0.918,0.0
aMEM_10pct-i_2s 2,aMEM_10pct-i_2s,medium,iota,20 ug/mL,2.0,192,24.822530288399513,74.04548954027989,1.7008589804647851,-0.1606762792210516,0.801,0.0,40.0,1.5,1.5810819313810254,1.5759571887637573,13.194091381545583,0.895,0.0124,28.01,0.508,144.8,0.916,0.0
